algorithm,mpi_processes,omp_threads,nodes,edges,per_iter_times,avg_time,min_time,max_time,speedup_vs_seq,efficiency
Sequential,NA,NA,10000,50000,0.002627|0.003140|0.002399|0.001955|0.002611,0.00254614,0.0019548,0.0031396,1,1
OpenMP-static,NA,1,10000,50000,0.003313|0.002599|0.002062|0.002583|0.002390,0.00258936,0.0020619,0.003313,0,0
OpenMP-dynamic,NA,1,10000,50000,0.002017|0.002245|0.002391|0.002038|0.003300,0.00239832,0.0020171,0.0033001,0,0
OpenMP-guided,NA,1,10000,50000,0.003221|0.002374|0.002833|0.002323|0.003255,0.002801,0.0023226,0.0032545,0,0
OpenMP-static,NA,2,10000,50000,0.001580|0.001164|0.000999|0.001406|0.001436,0.00131684,0.0009991,0.0015796,0,0
OpenMP-dynamic,NA,2,10000,50000,0.001555|0.001649|0.002499|0.001679|0.001479,0.0017722,0.0014789,0.0024986,0,0
OpenMP-guided,NA,2,10000,50000,0.001081|0.000901|0.001386|0.001021|0.000928,0.00106354,0.0009014,0.001386,0,0
OpenMP-static,NA,4,10000,50000,0.001045|0.000714|0.003097|0.000926|0.001800,0.00151626,0.0007139,0.0030968,0,0
OpenMP-dynamic,NA,4,10000,50000,0.001057|0.001948|0.000987|0.000987|0.000964,0.00118866,0.0009637,0.0019477,0,0
OpenMP-guided,NA,4,10000,50000,0.000927|0.000927|0.002363|0.001340|0.000859,0.00128334,0.0008585,0.0023633,0,0
OpenMP-static,NA,8,10000,50000,0.001688|0.001018|0.001372|0.000930|0.003719,0.00174536,0.0009304,0.0037186,0,0
OpenMP-dynamic,NA,8,10000,50000,0.001026|0.001001|0.000936|0.002230|0.000884,0.0012152,0.0008842,0.0022298,0,0
OpenMP-guided,NA,8,10000,50000,0.001265|0.001012|0.000922|0.002984|0.001593,0.00155534,0.0009225,0.0029844,0,0
MPI,1,NA,10000,50000,0.001952|0.001843|0.003313|0.001882|0.001975,0.00219294,0.0018428,0.0033134,0,0
MPI,2,NA,10000,50000,0.002422|0.001283|0.001252|0.002962|0.001546,0.00189288,0.0012522,0.0029616,0,0
MPI,4,NA,10000,50000,0.001453|0.001276|0.001631|0.003300|0.001609,0.00185392,0.001276,0.0033001,0,0
MPI,8,NA,10000,50000,0.129347|0.009614|0.003301|0.019220|0.002612,0.0328189,0.0026119,0.129347,0,0
Sequential,NA,NA,100000,500000,0.049525|0.039477|0.035115|0.042442|0.042009,0.0417135,0.0351152,0.0495252,1,1
OpenMP-static,NA,1,100000,500000,0.034528|0.038236|0.037733|0.038133|0.041536,0.0380333,0.034528,0.0415363,0,0
OpenMP-dynamic,NA,1,100000,500000,0.041910|0.036394|0.035861|0.035599|0.042902,0.0385334,0.0355986,0.0429022,0,0
